ncessch,free_lunch_qualified,reduced_price_lunch_qualified,missing,not_applicable,no_category_codes,n
410883004189,347,102,0,0,449,1729
410888000771,201,52,0,0,253,794
410888000772,236,65,0,0,301,282
410888001326,226,50,0,0,276,910
410888001424,190,55,0,0,245,NA
410894001135,148,32,0,0,180,273
410900000750,356,62,0,0,418,530
410900000751,164,29,0,0,193,504
410900000752,214,37,0,0,251,169
410912000285,102,15,0,0,117,398
410912000286,119,18,0,0,137,174
410912000287,76,14,0,0,90,72
410915000635,206,16,0,0,222,344
410915000636,61,9,0,0,70,146
410915000637,97,18,0,0,115,66
410927000739,301,31,0,0,332,484
410927000740,114,7,0,0,121,150
410927000741,233,9,0,0,242,305
410927000743,336,14,0,0,350,476
410927000744,94,6,0,0,100,98
410927000745,224,21,0,0,245,637
410927000746,430,37,0,0,467,332
410933000112,143,33,0,0,176,569
410933000113,131,31,0,0,162,518
410933000114,242,24,0,0,266,504
410933000116,170,37,0,0,207,516
410933000117,126,29,0,0,155,NA
410933000122,108,22,0,0,130,595
410933000123,246,49,0,0,295,1518
410933000124,274,51,0,0,325,1635
410933000126,566,126,0,0,692,899
410933000147,169,30,0,0,199,555
410933001642,0,0,0,0,0,NA
